Title,Author,Genre,Notes
The Player of Games,"Banks, Ian M",Science Fiction,Dude wins a chess tourney and overthrows an empire. Also 3 genders.
American Fairy Tales,"Baum, Frank L",Folklore,"Modern fairy tales, have good stories that are more fun than standard ancient myths."
Arc,"Baxter, Stephen",Science Fiction,Ender's Game but kids are explorers and the author is only _slightly_ less of a pervert
Manifold: Time,"Baxter, Stephen",Science Fiction,sentient squids & time fuckery
Raft,"Baxter, Stephen",Science Fiction,Elysium but the good ending and with space whales
Halo: Cryptum,"Bear, Greg",Science Fiction,Halo forerunner series 1
Halo: Primordium,"Bear, Greg",Science Fiction,Halo forerunner series 2
Timescape,"Benford, Gregory",Science Fiction,Using iridium to talk to the past to stop global warming
Girl Dinner,"Blake, Olivia",Light Lit,Sorority girls are actually cannibals?
The Exorcist,"Blatty, William Peter",Horror,Regan! The demon girl! A wonderful ghost story
2666,"Bolano, Robert",Literature,"Somewhat Murikami like tale of people in Mexico exposing murders and gangs, but getting locked up and life happens"
Fahrenheit 451,"Bradbury, Ray",Science Fiction,"Dystopian, anti-literary society at its best (worst?)"
"The Second Machine Age: Work, Progress, and Prosperity in a Time of Brilliant Technologies","Brynjolfsoson, Erik and McAfee, Andrew",Nonfiction,Economic study on how increasing automation will change to future economy
At Home,"Bryson, Bill",Nonfiction,"Quaint history of the home, homiliness, and why we have the rooms that we do"
I'm a stranger here myself,"Bryson, Bill",Nonfiction,A collection of delightful essays on living in America
Harmless Like You,"Buchanan, Rowan Hisyao",Literature,Yuki is a harmless wannabe artist who maries (and leaves) her harmless husband Edison
Miles Errant,"Bujold, Lois McMaster",Science Fiction,"Space Opera with some really dark torture scenes. Weird clone family drama, too"
The Curse of Chalion,"Bujold, Lois McMaster",Science Fiction,Entertaining trash fantasy novel
A Clockwork Orange,"Burgess, Anthony",Literature,Wonderfully crafted dystopian novel
Death Masks,"Butcher, Jim",Light Lit,Dresden & Michael vs evil demons and shroud of Turin
Fool's Moon,"Butcher, Jim",Light Lit,Dresden & wolf friends vs evil werewolf
Grave Peril,"Butcher, Jim",Light Lit,Dresden vs spoopy ghosts
Storm Front,"Butcher, Jim",Light Lit,Detective Harry Dresden vs evil weather wizard
Summer Knight,"Butcher, Jim",Light Lit,Dresden & Michael vs mean vampires and fairies
Bloodchild,"Butler, Octavia",Short Stories,"Super dark, gritty, realistic stories about humans and aliens"
Clay's Ark,"Butler, Octavia",Science Fiction,"Weird, man... More character study than scifi. 5/10"
Parable of the Sower,"Butler, Octavia",Science Fiction,Post-apocalyptic moses girl starts a new religion called Earthseed
Xenogenisis Trilogy,"Butler, Octavia",Science Fiction,Aliens give humanity a second chance in exchange for their children. Nice world-building and weird aliens
The Stranger,"Camu, Albert",Literature,"Good intro to existantialism, goes well with Vonnegurt"
The Stranger,"Camus, Albert",Literature,"French wretch murders someone for fun, dies because living is too much work"
Ender's Game,"Card, Orson Scott",Science Fiction,Incredible Sci-Fi about a military academy to train kids to fight aliens
Ender's Shadow,"Card, Orson Scott",Science Fiction,"Ender's Game from another POV, and is its own incredible story"
How to Win Friends and Influence People,"Carnagie, Dale",Nonfiction,"Basic advice: if you're genuinely interested in other people, other people will like you"
What We Talk About When We Talk About Love,"Carver, Raymond",Short Stories,Great collection of short stories that are incredibly human and extremely relatable. Read aloud with friends.
A Lost Lady,"Cather, Willa",Literature,Fun little read about life in the midwest during and after the depression
A Closed and Common Orbit,"Chambers, Becky",Science Fiction,"Same universe as other works, great themes about choosing one's own family"
Record of a Spaceborn Few,"Chambers, Becky",Science Fiction,Life in the Exodan space stations
"The Galaxy, and the Ground Within","Chambers, Becky",Science Fiction,Canterbury tales but with more aliens
"The Long Way to a Small, Angry Planet","Chambers, Becky",Science Fiction,"Finally a sci-fi book with weird, non-humanoid aliens!"
The Perks of Being a Wallflower,"Chbosky, Stephen",Teen Trash,"A big, jumbled heap of all the contravertial issues of 1999 that fails to have any meaningful plot or characters"
Stories of your life and others,"Chiang, Ted",Short Stories,"Wonderful short stories, themes about free will, time travel"
Algorithms to Live By,"Christian, Brian and Griffiths, Tom",Nonfiction,"Great intersection of computer science, ethics, and self-help. 37% optimal stopping"
And then there were none,"Christie, Agatha",Thriller,10 people on an island getting killed one by one
Rainbow Six,"Clancey, Tom",Thriller,"Reads like a COD game, but incredibly detailed with interesting military stratigies"
The haunting of tram car 015,"Clark, P Djeli",Fantasy,Egyptian detectives out a ghost from a tram car
Childhood's End,"Clarke, Arthur C",Science Fiction,Great golden-age sci-fi about Aliens invading Earth
Rendezvous with Rama,"Clarke, Arthur C",Science Fiction,One of the most interesting premises for a Sci-Fi book I've encountered
Piranesi,"Clarke, Susanna",Literature,Guy is trapped in an infinitely large house full of statues.
The Alchemist,"Coelho, Paulo",Literature,Preachy parable about listening to your heart and following your dreams. Like Ishmael but less trees more Jesus
What's Left? How Liberals lost their way,"Cohen, Nick",Nonfiction,Very good analysis of the changes of the liberal left in Engliand and the West in the early 2000's
Heart of Darkness,"Conrad, Joseph",Literature,"Interesting read, its reputation preceeds it, and I'm sure it was terrifying by 1890's standards."
Abaddon's Gate,"Corey, James S A",Science Fiction,"Solar system gateway is built, humans gotta explore it"
Babylon's Ashes,"Corey, James S A",Science Fiction,"Rise of the free navy, Duarte fucks off to his own planet"
Caliban's War,"Corey, James S A",Science Fiction,More protomolecule BS starring Holden and that detective
Cibola Burn,"Corey, James S A",Science Fiction,I think this is the one with the colony planet vs corpos
Leviathan Falls,"Corey, James S A",Science Fiction,Duarte becomes an agent of one of the WH40K chaos gods but is killed somehow idk
Leviathan Wakes,"Corey, James S A",Science Fiction,James Holden and friends start a solar system conflict
Nemisis Games,"Corey, James S A",Science Fiction,Crew members take personal time while that kid drops rocks
Persepolis Rising,"Corey, James S A",Science Fiction,"Duarte is back with his weirdo Rome planet, takes Medina station"
Tiamet's Wrath,"Corey, James S A",Science Fiction,"Old-ass Holden and Naiomi do resistance things, Dr Okoye learns about alien stuff"
Galaxy in Flames,"Counter, Ben",WH40K,pt 3 of W40K Horus Heresy
The Culture Code,"Coyle, Daniel",Nonfiction,Vulnrability creates team cooperation and company culture
Airframe,"Crichton, Michael",Thriller,Airplane manufacturer investigates a lethal turbulance incident among a hostile union and media
Jurassic Park,"Crichton, Michael",Thriller,Open Door > Get On Floor > Walk Your Favourite Dinosaur
The Andromeda Strain,"Crichton, Michael",Thriller,"Riviting medical thriller, great plot and storytelling"
The Terminal Man,"Crichton, Michael",Thriller,A computer hacker man goes on a rampage!
Dark Matter (Crouch),"Crouch, Blake",Science Fiction,"Travel between parallel universes to find your best self, literally"
Recursion,"Crouch, Blake",Science Fiction,Woman creates a chair that lets you go back into time via memories and change things. Generic time travel thriller
Blue Gold,"Cussler, Clive",Light Lit,"Mary-sue, self-insert 007 fanfiction for racist boomers"
House of Leaves,"Danielewski, Mark Z",Horror,"One of the scariest books I've read, will challenge your perceptions of reality"
Halo Hunters in the Dark,"David, Peter",Science Fiction,More Halo soldiers going pew pew pew
Zero K,"DeLillo, Don",Science Fiction,A billionare old man buys cyropreservation services for him and his wife in a strange Central Asian bunker
Ragnar Blackmane,"Dembski-Bowden, Aaron",Science Fiction,"Blackmane does more than just kill things, but he also kills a lot of things lmao"
The Master of Mankind,"Dembski-Bowden, Aaron",WH40K,The Emperor is losing the war in the webway
Ubik,"Dick, Phillip K",Science Fiction,Ubik! It's what plants crave!
Down and Out in the Magic Kingdom,"Doctorow, Cory",Science Fiction,Julius is part of the Ad-hocracy administrating Disney World in a post-death society
All the Light We Cannot See,"Doerr, Anthony",Literature,Beautful story about a blind girl in WWII France and a cursed diamond
50 Years of Data Science,"Donoho, David",Nonfiction,"Data Science is better than statistics,smd professors"
The Idiot,"Dostoyevsky, Fydor",Literature,Poor Prince Muishkin; he did nothing wrong but be honest
The Count of Monte Cristo,"Dumas, Alexander",Literature,The OG revenge story. Edmund Dantes FTW!
Rebecca,"DuMaurier, Daphne",Literature,Last night I dreamt of Manderley again
Why I'm No Longer Talking to White People about Race,"Eddo-Lodge, Reni",Nonfiction,Deep review of systemic racism and the barriers to conversations it poses
A Visit From the Goon Squad,"Egan, Jennifer",Literature,"Great book about growing old, characters are great and human. See also Faulkner's As I Lay Dying"
Manhattan Beach,"Egan, Jennifer",Literature,Anna the diving girl! Dives to the bottom of the bay on a journey to find her dad
The Candy House,"Egan, Jennifer",Literature,Basically a sequal to goon squad
This is How You Lose the Time War,"el-Mohtar, Amal",Light Lit,Two secret time agents fall in love like in The Notebook
Axiom's end,"Ellis, Lindsay",Science Fiction,Space race happens a lot earlier because aliens
Freshwater,"Emezi, Akwaeke",Literature,African girl with Gods inside her learns to embrace the madness
A Sunny Place for Shady People,"Enriquez, Mariana",Short Stories,"The BEST kind of ghost stories, coming at you from Argentina"
Malazan 1: Gardens of the Moon,"Erikson, Steven",Fantasy,"Malazan empire attempts to siege Dahrujistan and you, the reader, are clueless"
Malazan 2: Deadhouse Gates,"Erikson, Steven",Fantasy,Coltaine's chain of dogs
Malazan 3: Memories of Ice,"Erikson, Steven",Fantasy,"Siege of Capustan rise of Treach/Trake the tiger of summer, end of the bridgeburners"
Malazan 4: House of Chains,"Erikson, Steven",Fantasy,Karsa Orblong becomes the knight of house chains
Malazan 5: Midnight Tides,"Erikson, Steven",Fantasy,Letheri and Tiste Edur brothers mirror each other. Bug the divine manservant.
Malazan 6: The Bonehunters,"Erikson, Steven",Fantasy,"Back in the Seven Cities, Y'Ghatan burns and Tavore becomes her own"
Malazan 7: Reaper's Gate,"Erikson, Steven",Fantasy,Fall of letheras. Bonehunters guerilla war. Karsa duels the emperor. Icarium glowers then does weird magic shit
As I Lay Dying,"Faulkner, William",Literature,"Incredible narrative structure. Great story about familial disfunction told from different, dishonest POVs"
Light in August,"Faulkner, William",Literature,Wonderfully flawed characters play out this tale of southern racist charm
Tender is the Night,"Fitzgerald, F Scott",Romance,"First part is an incredible romance, second part is a great murder-thriller"
Goldfinger,"Fleming, Ian",Light Lit,Wow I never realized how much of a misogynistic alcoholic James Bond is
Sharp Objects,"Flynn, Gillian",Thriller,Journalist girl who cuts herself covers a murder story in her hometown and discovers family issues
Halo New Blood,"Forbeck, Matt",Light Lit,Halo soldiers go pew pew pew
Rise of the Robots: Technology and the Threat of a Jobless Future,"Ford, Martin",Nonfiction,Study on the social impacts of an increasingly automated economy
We are all completely beside ourselves,"Fowler, Karen Joy",Literature,A girl was raised alongside a chimp as part of her psychologist father's experiment
The Collector,"Fowles, John",Thriller,"A young man wins the lottery, buys a farmhouse in the British countryside, and kidnaps a woman to lock in his basement"
The Magus,"Fowles, John",Literature,Shutter Island x the great gatsby
Lessons in Chemistry,"Garmus, Bonnie",Literature,Elizabeth Zott supper at six
In a Dark Place: The Story of a True Haunting,"Garton, Ray",Horror,"Ghost stories, when they pretend to be real, are soooo dull"
Burning Chrome,"Gibson, William",Short Stories,"Collection of early Gibson short stories, fav was ""Fragments of a holographic rose"""
Burning Chrome,"Gibson, William",Short Stories,"Short sci fi stories. Fav are fragments of a holographic rose, the winter market"
Count Zero,"Gibson, William",Science Fiction,Art buyer helps an old rich man die. Also corporate kidnap job goes wrong
Mona Lisa Overdrive,"Gibson, William",Science Fiction,"Gibson has an incredible sci-fi dystopian universe. Dark, Cynical, and full of mystery."
Neuromancer,"Gibson, William",Science Fiction,"Rogue AI, interbred future families, and alcoholic anti-heroes. Standard cyberpunk fare, but Gibson invented it."
Blink,"Gladwell, Malcolm",Nonfiction,Instincts are powerful and first impressions can be crafted
When a Crocodile Eats the Sun,"Godwin, Peter",Nonfiction,Memiors of growing up in Zimbabwe and lamenting at how things have worsened since
Maybe You Should Talk to Someone,"Gottlieb, Lori",Autobiography,A therapist goes to therapy to talk about the theraputic process (and get therapy)
Give and Take,"Grant, Adam",Nonfiction,"Great approach to relationships, networking, and lifetime happiness"
Looking For Alaska,"Green, John",Teen Trash,"Catcher in the Rye but with shittier, modern characters and the same plotline as all of Green's other books"
The Faults in Our Stars,"Green, John",Teen Trash,Incredibly effective if it's your first Green novel.
Swallowing Mercury,"Greg, Wioletta",Autobiography,Memories of growing up a poor girl in 1980's Poland
The Invisible Hotel,"Ham, Yeji Y",Literature,Bathtub full of bones
Moth Smoke,"Hamid, Mohsin",Literature,Fight club but in Pakistan and with more self-destruction and less likable characters
Great at Work,"Hansen, Morten",Nonfiction,Productivity and teamwork in the corporate landscape
Orbital,"Harvey, Samantha",Literature,Love letter to the astronauts on the ISS. Great description of disorienting timelessness
The Blind Owl,"Hedayat, Sadegh",Literature,Dusty and horny Iraqi man sleeps with a dead(?) body
Starship Troopers,"Heinlein, Robert A",Science Fiction,Great political commentary on war from an alien-killing epic
Stranger in a Strange Land,"Heinlein, Robert A",Science Fiction,Mary Sue Martian confirms chauvanism
Catch-22,"Heller, Joseph",Literature,"One of my favourite anti-war novels. Love you, Snowden!"
The old man and the sea,"Hemmingway, Earnest",Literature,Old guy catches a big fish but sharks ate it up oh nooooo
Dune,"Herbert, Frank",Fantasy,Incredibly sci-fi fantasy novel comprable with LOTR but with giant sand worms
Hiroshima,"Hersey, John",Nonfiction,Shows you just how fucked up stuff gets when you drop an atomic bomb on a city
Beneath the Wheel,"Hesse, Hermann",Literature,"Handbook for the tortured intellectual, who is too smart for his own good"
Siddhartha,"Hesse, Hermann",Literature,"Good philosophy, nice Buddhist story to reflect on"
October Sky (Rocket Boys),"Hickam, Homer",Autobiography,"Light, wholesome story about country boys building rockets and winning the science fair"
The Talented Mr Ripley,"Highsmith, Patricia",Thriller,Fucking awful
Heart Shaped Box,"Hill, Joe",Horror,Nice little ghost story with Rock & Roll & Motorcycles.
NOS4A2,"Hill, Joe",Horror,Creative and disturbing horror
The Sun Does Shine,"Hinton, Anthony Ray",Autobiography,Story of an innocent man who spent 30 years on Alabama's death row
A Thousand Splendid Suns,"Hosseini, Khaled",Literature,"Fun little read, good for putting a nice damper on your happy mood. Child abuse warning."
To Live,"Hua, Yu",Literature,Famous Chinese novel of an idiot starving his way through the cultural revolutions
A High Wind Rises in Jamaica,"Hughes, Richard",Literature,Kids get captured by pirates and immediately forget that it's a bad thing
Les Mis,"Hugo, Victor",Literature,Wonderful book with amazing themes and better characters
The Hunchback of Notre Dame,"Hugo, Victor",Literature,Fuckin everybody in this book is a terrible person except Esmerelda and her goat. Great story though
A Prayer for Owen Meany,"Irving, John",Literature,Incredible book about God's plans for a tiny New-England boy and his friend John.
The World According to Garp,"Irving, John",Literature,Crazy characters and a wild ride throughout
We'll Prescribe You A Cat,"Ishida, Syou",Light Lit,Cats dressing as humans dispense cats as psychotherapy
Klara and The Sun,"Ishiguro, Kazuo",Literature,Klara is a very observative robot who becomes a real girl
Never Let Me Go,"Ishiguro, Kazuo",Literature,"If The Faults in Our Stars took place in the same world as House of the Scorpion. Good, sad read."
The Buried Giant,"Ishiguro, Kazuo",Literature,"Wonderful story, great pacing. The mysteries and importance of memories (and dragons)"
The Remains of the Day,"Ishiguro, Kazuo",Literature,An old Butler goes on a road trip and thinks about dignity
The Haunting of Hill House,"Jackson, Shirley",Horror,Elenor and rich guilded era friends investigate a haunted house
The Fifth Season,"Jemisin, N K",Science Fiction,Rock magic 1
The Obelisk Gate,"Jemisin, N K",Science Fiction,Rock magic 2
The Stone Sky,"Jemisin, N K",Science Fiction,rock Magic 3
The 100 Year Old Man Who Climbed Out The Window,"Jonasson, Jonas",Light Lit,Reads like a Wes Anderson film. Very quirky and fun read.
When Breath Becomes Air,"Kalanithi, Paul",Autobiography,Paul is a neurosurgeon who dies from cancer while writing this book
Hellbound Hearts,"Kane, Paul",Short Stories,Kinky pinhead demons
The Vegetarian,"Kang, Han",Literature,Human beings are meant to be plants
All my Friends are Superheros,"Kaufman, Andrew",Short Stories,"Fun little read, quick feel-good romance with quirky characters."
Breasts and Eggs,"Kawakami, Mieko",Literature,Woman wants to get preggo but dislikes sex (and men) therefore sperm donor
Dharma Bums,"Kerouac, Jack",Literature,Made me yearn for the Pacific-Northwest and 1950's American Buddhism
On The Road,"Kerouac, Jack",Literature,Great mood-piece from the beatnik generation
Flowers for Algernon,"Keys, Daniel",Literature,Very sad but intriguing and hearbreaking novel
The Pheonix Project,"Kim, Gene",Nonfiction,The Fountainhead tells the story of DevOps
Misery,"King, Stephen",Horror,AAAAHHHH!
The Shining,"King, Stephen",Horror,"Great, scary horror!"
Space Wolf Trilogy,"King, William",Science Fiction,Ragnar Blackmane is Wolf Lord of the space wolves doing wolf things. Awooooo~~
Something New Under the Sun,"Kleeman, Alexandra",Science Fiction,"Climate fiction, Patrick Hamelin goes to hollywood and gets weird dementia from the wat-r"
We used to live here,"Kliewer, Marcus",Horror,A redditor wrote a haunted house story
Terms of Enlistment,"Kloos, Marko",Light Lit,Space marine romp with women characters that doesn't make a big deal about having women in space
The life changing magic of tidying up,"Kondo, Marie",Nonfiction,Teaches the KonMari method of tidying up- quite useful!
Into Thin Air,"Krakauer, Jon",Nonfiction,Memior of author's experience on a tragic journey up Mt. Everest
Under the Banner of Heaven,"Krakauer, Jon",Nonfiction,"Crazy Mormon listens to God's call to kill his brother's wife and baby. Book asks, ""why?"""
Babel,"Kuang, RF",Literature,Language translation Harry Potter pulls a racially-motivated Les Mis
The Unbearable Lightness of Being,"Kundera, Milan",Literature,"Beautiful philosophy of life, love, and time."
Gods Without Men,"Kunzru, Hari",Literature,Knock-off Murakami tries to write one of the sub-plots of Infinite Jest
Shadow Divers,"Kurson, Robert",Historical Fiction,Deep-water scuba divers seek trasure and history
Endurance,"Lansing, Alfred",Historical Fiction,"The incredible story of Shackleton's arctic voyage, shipwreck, and survival"
In the Garden of Beasts,"Larson, Eric",Nonfiction,Great recounting of ambassador to pre-WW2 Germany's life in the 3rd reich. Scary modern parallels.
Issiac's Storm,"Larson, Eric",Historical Fiction,"Fun little read, great storytelling"
The Devil in the White City,"Larson, Eric",Nonfiction,Riviting and horrifying tale of world's fair and first serial killer
The Girl with the Dragon Tattoo,"Larsson, Stieg",Thriller,Detective novel with relatable characters and horribly morbid antagonists. Chile abuse warning.
The Spy who came in from the Cold,"le Carre, John",Thriller,A double-agent double-crosses to catch other double-agents. But it the whole thing a setup?
"Tinker, Tailor, Soldier, Spy","le Carre, John",Thriller,Double double agent spy novel. A bit confusing
A Wizard of Earthsea,"le Guin, Ursula K",Fantasy,"Ged/Sparrowhawk rises, goes to not-hogwarts, and summons a deamon"
Rocanon's World,"le Guin, Ursula K",Science Fiction,"Early Haimish cycle, Rocanon discovers the secrets of telepathy on a medieval world with flying beasts"
Tehanu,"le Guin, Ursula K",Fantasy,Some dumb kid comes across Ged and the tomb girl but the kid is actually a dragon. Best earthsea IMO
The Farthest Shore,"le Guin, Ursula K",Fantasy,Ged goes for a long boat ride to save the dragons
The Lathe of Heaven,"le Guin, Ursula K",Science Fiction,"Guy's dreams come true, but he gets manipulated by a mean dream-doctor"
The Left Hand of Darkness,"le Guin, Ursula K",Science Fiction,Strange Androgynous humans on an icy planet are convinced to join the galactic union
The Tombs of Atuan,"le Guin, Ursula K",Fantasy,Ged goes tomb raiding and frees the head priestess
Dallergut Dream Department Store,"Lee, Miye",Light Lit,Young spirit girl gets a job at the dream department store selling actual dreams
Return to the Dallergut Dream Department Store,"Lee, Miye",Light Lit,"It's the first book, but more!"
The Basics of Bitcoins and Blockchains,"Lewis, Antony",Nonfiction,"Good overview & understanding of bitcoin, blockchain, etherium, and DeFi"
The Big Short,"Lewis, Michael",Nonfiction,Hedge funds betting on the 2008 financial crisis
Get In Trouble,"Link, Kelly",Short Stories,"Very fun and interesting short stories, incredibly human characters with small but meaningful plotlines."
Death's End,Liu Cixin,Science Fiction,Part of the most interesting science fiction series I've ever read
The Dark Forest,Liu Cixin,Science Fiction,My favorite of the series. Swordbreaker ftw!
Three Body Problem,Liu Cixin,Science Fiction,Some of the most original and creative science fiction I've ever read
Apollo 13,"Lovell, Jim",Thriller,Riviting space thriller written by the guy who lived through it
Sleeping Freshmen Never Lie,"Lubar, David",Light Lit,Light coming-of-age story about high school freshman kid
The Desert of Stars,"Lumpkin, John J",Science Fiction,Physics-based ship-to-ground combat with fun human-interest stories. Startship troopers meets James S A Corey
"Through Struggle, The Stars","Lumpkin, John J",Science Fiction,Physics-based ship to ship space combat by the designer of Terra Invicta
Bird Box,"Malerman, Josh",Thriller,"""Scary"" story about meme zombie virus and a preggo lady. Okay"
The Subtle are of not giving a Fuck,"Manson, Mark",Nonfiction,Self-help type book about control and responsibility
The Tunnels of Cu Chi,"Marigold, Tom and Penycate, John",Nonfiction,Amazing stories from people who lived and fought in Vietnames tunnels
Love in the Time of Cholera,"Marquez, Gabriel Garcia",Literature,"Florentino Aritzia wants to fuck old people. And young people, too."
One Hundered Years of Solitude,"Marquez, Gabriel Garcia",Literature,"Amazing tale of multi-generational family, magical realism at its best"
Life of Pi,"Martel, Yann",Literature,Riviting survival tale of a boy and his tiger
Swan Song,"McCammond, Robert",Science Fiction,Post-apocalyptic nuclear winter gives one girl magic powers of plant growth
Blood Meridian,"McCarthy, Cormac",Literature,"Violent, bloody, wild wild west"
No Country for Old Men,"McCarthy, Cormac",Literature,"Extremely violent and savage, the theme is hard to discover under all the blood and death"
The Road,"McCarthy, Cormac",Literature,"I'm not crying, you're crying.... Somebody get me a comma, please."
Secrets to Winning at Office Politics,"McIntyre, Marie G",Nonfiction,Actual good advice on working in corporacracy
I'll be gone in the dark,"McNamara, Michelle",Nonfiction,"Author investigates a serial rapist/murderer in LA in the 80's, solves the case too!"
A Thousand Sons,"McNeill, Graham",WH40K,Start of the fall of Magnus the read and the Thousand Sons chapter
False Gods,"McNeill, Graham",WH40K,"More W40K space marines, not a big fan of McNiel's prose, it's quite droll"
The Crimson King,"McNeill, Graham",WH40K,All the king's horses and all the king's men couldn't put Magnus together again
The Outcast Dead,"McNeill, Graham",WH40K,Loyal space marines from traitor leigons team up
Thinking in Systems: A Primer,"Meadows, Donella H",Nonfiction,Designing software and human processes from a systems perspective. Good stuff!
Song of Achilles,"Miller, Madeline",Literature,Achilles / Patrocles yaoi fanfic
A Canticle for Leibowitz,"Miller, Walter",Science Fiction,Jesuits but in the fallout universe but written in the 1950's
Strange,"Mistry, Rohinton",Historical Fiction,The story of a family of poor Undesirables during India's constitutional crisis years
Bone Clocks,"Mitchell, David",Fantasy,Soul carnivors vs Horology and poor Holly Sykes caught in the middle
Cloud Atlas,"Mitchell, David",Literature,"Incredible book, great characters and themes."
Ghostwritten,"Mitchell, David",Literature,"Less-good Goon Squad, short stories in the same universe. Remember chinese mountain tea shop woman"
Slade House,"Mitchell, David",Short Stories,Short stories from the Soul Carnivors' world
The Art of Invisibility,"Mitnick, Kevin",Nonfiction,Paranoid white-hat ex-con teaches you how to hide from the FBI online
Lies of Silence,"Moore, Brian",Thriller,A fun romp about the IRA getting even and blowing up cars outside hotels
Altered Carbon,"Morgan, Robert",Science Fiction,Kovachs investigates a murder in an era when people live on flash drives
Tatami Galaxy,"Morimi, Tomihiko",Literature,"The wretch, an unnmed student, is tied to Ozu no matter what club he joins"
Rental Person Who Does Nothing,"Morimoto, Shoji",Autobiography,People send this Japanese dude twitter DMs and he just shows up and does nothing
Home,"Morrison, Tony",Literature,Offers a concerning view of the black community and how racist America affects it
The Bluest Eye,"Morrison, Tony",Literature,Really sad novel about growing up black in racist America. Child abuse warning
Death in her hands,"Moshfegh, Ottessa",Literature,Old lady dies in the woods
Lapvona,"Moshfegh, Ottessa",Literature,"Deformed Malek loves killing his brothers, and everyone in the village sucks"
My Year of Rest and Relaxtion,"Moshfegh, Ottessa",Literature,"A rich girl tries to sleep away an entire year, and mostly succeeds without consequences"
Island of a thousand mirrors,"Munaweera, Nayomi",Historical Fiction,The Sri Lankan civil war from the perspective of girls on either side of the conflict
1Q84,"Murakami, Haruki",Literature,Murakami is a dirty old man. Child abuse warning.
Hard Boiled Wonderland and the End of the World,"Murakami, Haruki",Literature,More fun Murakami with all the expected craziness
Kafka on the Shore,"Murakami, Haruki",Literature,"Kind of pointless, with a winding meandering story that feels like it should mean something but doesn't."
Wind-up Bird Chronicle,"Murakami, Haruki",Literature,"Great book, wonderfully modern and pointless. One of those stories where everything happens but nothing is achieved."
Convenience Store Woman,"Murata, Sayaka",Light Lit,She wants to work at a convenience store. So she do.
Lolita,"Nabokov, Vladimir",Literature,The prose is absolutely beautiful; the topic is absolutely revolting
Ultramarine,"Navarro, Mariette",Literature,"twenty freighter crewmen go swimming, twenty one climb back on board"
Last Days,"Nevill, Adam",Horror,"Documentary director gets hired to make a documentary about a doomsday cult, but things get spooky"
Ringworld,"Niven, Larry",Science Fiction,3 unlucky people and Teela Brown journey to the Ringworld
Logan's Run,"Nolan, William F & Johnson, George Clayton",Science Fiction,"No one over 21 is allowed to live, but Logan, the ex-DS man, thinks he can outrun his fate"
Master and Commander,"O'Brian, Patrick",Historical Fiction,"Cap'n Jack and his mighty fine crew, they sailed across the ocean blue!"
To Be a Machine,"O'Connell, Mark",Nonfiction,A look at the 2010's transhumanist movement of people who want to live forever
Wise Blood,"O'Conner, Flannery",Literature,Features one of the weirdest and most oddball characters I've ever met
The Third Policeman,"O'Nolan, Brian",Literature,A basement-dwelling scholar helps kill a man then spends his time in a special purgetory-hell. Very confusing
Running in the Family,"Ondaatje, Michael",Nonfiction,Memior about the author's grandparents' time as gentry in Sri Lanka during the roaring 20's and onward
There There,"Orange, Tommy",Literature,"While a sad American Indian story, it manages to not lose itself in tragedy and tells a gripping story"
1984,"Orwell, George",Science Fiction,One of the progenitors of dystopian fiction and has always been at war with Ocenia.
Animal Farm,"Orwell, George",Literature,"Four legs good, two legs better!"
Where the Crawdads Sing,"Owens, Delia",Literature,Mary Sue swamp girl becomes naturist scientist girl boss
